word,phonetic,pos,definition,source
special,ˈspɛʃəl,,a.特别的，特殊的,外研社初中
cut,kʌt,,v.切；剪,外研社初中
give,ɡɪv,,v.给，送,外研社初中
sing,sɪŋ,,v.唱，唱歌,外研社初中
happy,'hæpɪ,,a.高兴的；幸福的,外研社初中
secret,'sikrɪt,,n.秘密,外研社初中
ha ha,,,哈哈（表笑声）,外研社初中
CD,,,n.激光唱片；光盘,外研社初中
concert,'kɑnsɚt,,n.音乐会,外研社初中
magazine,'mæɡəzin,,n.杂志,外研社初中
scarf,skɑrf,,n.围巾,外研社初中
silk,sɪlk,,n.丝绸,外研社初中
dress,drɛs,,n.连衣裙；礼服,外研社初中
T-shirt,"'ti,ʃɝt",,n.T恤衫,外研社初中
choose,tʃuz,,v.选择；挑选,外研社初中
exercise,'ɛksɚsaɪz,,n.锻炼；练习,外研社初中
wear,wɛr,,v.穿；戴,外研社初中
expensive,ɪk'spɛnsɪv,,a.昂贵的,外研社初中
shoe,ʃu,,n.鞋，鞋子,外研社初中
spend,spɛnd,,v.花（钱）；花费,外研社初中
money,'mʌni,,n.钱，金钱,外研社初中
film,fɪlm,,n.电影,外研社初中
song,sɔŋ,,n.歌曲,外研社初中
match,mætʃ,,n.（尤指体育方面的）比赛，竞赛,外研社初中
weekend,ˈwikend,,n.周末,外研社初中
at weekends,,,在周末,外研社初中
dear,dɪr,,a.（用于信开头某人的名字前）亲爱的,外研社初中
hear,hɪr,,v.听见,外研社初中
hear from,,,收到⋯⋯的来信,外研社初中
afraid,ə'fred,,a.担心的；害怕的,外研社初中
I'm afraid,,,[口] 恐怕（用于礼貌地拒绝）,外研社初中
can't = cannot,,,不能,外研社初中
